Helység.megnevezése;IRSZ
Aba;8127
Abádszalók;5241
Abaliget;7678
Abasár;3261
Abaújalpár;3882
Abaújkér;3882
Abaújlak;3815
Abaújszántó;3881
Abaújszolnok;3809
Abaújvár;3898
Abda;9151
Abod;3753
Abony;2740
Ábrahámhegy;8256
Ács;2941
Acsa;2683
Acsád;9746
Acsalag;9168
Ácsteszér;2887
Adács;3292
Ádánd;8653
Adásztevel;8561
Adony;2457
Adorjánháza;8497
Adorjás;7841
Ág;7381
Ágasegyháza;6076
Ágfalva;9423
Aggtelek;3759
Agyagosszergény;9441
Ajak;4524
Ajka;8400
Ajka;8447
Ajka;8448
Ajka;8451
Aka;2862
Akasztó;6221
Alacska;3779
Alap;7011
Alattyán;5142
Albertirsa;2730
Alcsútdoboz;8087
Aldebrő;3353
Algyő;6750
Alibánfa;8921
Almamellék;7934
Almásfüzitő;2931
Almásháza;8935
Almáskamarás;5747
Almáskeresztúr;7932
Álmosd;4285
Alsóberecki;3985
Alsóbogát;7443
Alsódobsza;3717
Alsógagy;3837
Alsómocsolád;7345
Alsónána;7147
Alsónémedi;2351
Alsónemesapáti;8924
Alsónyék;7148
Alsóörs;8226
Alsópáhok;8394
Alsópetény;2617
Alsórajk;8767
Alsóregmec;3989
Alsószenterzsébet;8973
Alsószentiván;7012
Alsószentmárton;7826
Alsószölnök;9983
Alsószuha;3726
Alsótelekes;3735
Alsótold;3069
Alsóújlak;9842
Alsóvadász;3811
Alsózsolca;3571
Ambrózfalva;6916
Anarcs;4546
Andocs;8675
Andornaktálya;3399
Andrásfa;9811
Annavölgy;2529
Apácatorna;8477
Apagy;4553
Apaj;2345
Aparhant;7186
Apátfalva;6931
Apátistvánfalva;9982
Apátvarasd;7720
Apc;3032
Áporka;2338
Apostag;6088
Aranyosapáti;4634
Aranyosgadány;7671
Arka;3885
Arló;3663
Arnót;3713
Ároktő;3467
Árpádhalom;6623
Árpás;9132
Ártánd;4115
Ásotthalom;6783
Ásványráró;9177
Aszaló;3841
Ászár;2881
Aszód;2170
Aszófő;8241
Áta;7763
Átány;3371
Atkár;3213
Attala;7252
Babarc;7757
Babarcszőlős;7814
Babócsa;7584
Bábolna;2943
Bábonymegyer;8658
Babosdöbréte;8983
Babót;9351
Bácsalmás;6430
Bácsbokod;6453
Bácsborsód;6454
Bácsszentgyörgy;6511
Bácsszőlős;6425
Badacsonytomaj;8257
Badacsonytomaj;8258
Badacsonytomaj;8261
Badacsonytördemic;8263
Bag;2191
Bagamér;4286
Baglad;8977
Bagod;8992
Bágyogszovát;9145
Baj;2836
Baja;6500
Baja;6503
Bajánsenye;9944
Bajna;2525
Bajót;2533
Bak;8945
Bakháza;7585
Bakóca;7393
Bakonszeg;4164
Bakonya;7675
Bakonybánk;2885
Bakonybél;8427
Bakonycsernye;8056
Bakonygyirót;8433
Bakonyjákó;8581
Bakonykoppány;8571
Bakonykúti;8046
Bakonynána;8422
Bakonyoszlop;8418
Bakonypéterd;9088
Bakonypölöske;8457
Bakonyság;8557
Bakonysárkány;2861
Bakonyszentiván;8557
Bakonyszentkirály;8430
Bakonyszentlászló;8431
Bakonyszombathely;2884
Bakonyszücs;8572
Bakonytamási;8555
Baks;6768
Baksa;7834
Baktakék;3836
Baktalórántháza;4561
Baktüttös;8946
Balajt;3780
Balassagyarmat;2660
Balástya;6764
Balaton;3347
Balatonakali;8243
Balatonakarattya;8172
Balatonalmádi;8220
Balatonberény;8649
Balatonboglár;8630
Balatonboglár;8691
Balatoncsicsó;8272
Balatonederics;8312
Balatonendréd;8613
Balatonfenyves;8646
Balatonfőkajár;8164
Balatonföldvár;8623
Balatonfüred;8230
Balatonfűzfő;8175
Balatonfűzfő;8184
Balatongyörök;8313
Balatonhenye;8275
Balatonkenese;8174
Balatonkeresztúr;8648
Balatonlelle;8638
Balatonmagyaród;8753
Balatonmáriafürdő;8647
Balatonőszöd;8637
Balatonrendes;8255
Balatonszabadi;8651
Balatonszárszó;8624
Balatonszemes;8636
Balatonszentgyörgy;8710
Balatonszepezd;8252
Balatonszőlős;8233
Balatonudvari;8242
Balatonújlak;8712
Balatonvilágos;8171
Balinka;8055
Balinka;8054
Balkány;4233
Ballószög;6035
Balmazújváros;4060
Balogunyom;9771
Balotaszállás;6412
Balsa;4468
Bálványos;8614
Bana;2944
Bánd;8443
Bánfa;7914
Bánhorváti;3642
Bánk;2653
Bánokszentgyörgy;8891
Bánréve;3654
Bár;7711
Barabás;4937
Baracs;2426
Baracs;2427
Baracska;2471
Báránd;4161
Baranyahídvég;7841
Baranyajenő;7384
Baranyaszentgyörgy;7383
Barbacs;9169
Barcs;7570
Barcs;7557
Bárdudvarnok;7478
Barlahida;8948
Bárna;3126
Barnag;8291
Bársonyos;2883
Basal;7923
Baskó;3881
Báta;7149
Bátaapáti;7164
Bátaszék;7140
Baté;7258
Bátmonostor;6528
Bátonyterenye;3078
Bátonyterenye;3070
Bátor;3336
Bátorliget;4343
Battonya;5830
Bátya;6351
Batyk;8797
Bázakerettye;8887
Bazsi;8352
Béb;8565
Becsehely;8866
Becske;2693
Becskeháza;3768
Becsvölgye;8985
Bedegkér;8666
Bedő;4128
Bejcgyertyános;9683
Békás;8515
Bekecs;3903
Békés;5630
Békéscsaba;5671
Békéscsaba;5600
Békéscsaba;5623
Békéssámson;5946
Békésszentandrás;5561
Bekölce;3343
Bélapátfalva;3346
Bélavár;7589
Belecska;7061
Beled;9343
Beleg;7543
Belezna;8855
Bélmegyer;5643
Beloiannisz;2455
Belsősárd;8978
Belvárdgyula;7747
Benk;4643
Bénye;2216
Bér;3045
Bérbaltavár;9831
Bercel;2687
Beregdaróc;4934
Beregsurány;4933
Berekböszörmény;4116
Berekfürdő;5309
Beremend;7827
Berente;3704
Beret;3834
Berettyóújfalu;4100
Berhida;8182
Berhida;8181
Berkenye;2641
Berkesd;7664
Berkesz;4521
Bernecebaráti;2639
Berzék;3575
Berzence;7516
Besence;7838
Besenyőd;4557
Besenyőtelek;3373
Besenyszög;5071
Besnyő;2456
Beszterec;4488
Bezedek;7782
Bezenye;9223
Bezeréd;8934
Bezi;9162
Biatorbágy;2051
Bicsérd;7671
Bicske;2060
Bihardancsháza;4175
Biharkeresztes;4110
Biharnagybajom;4172
Bihartorda;4174
Biharugra;5538
Bikács;7043
Bikal;7346
Biri;4235
Birján;7747
Bisse;7811
Boba;9542
Bocfölde;8943
Boconád;3368
Bócsa;6235
Bocska;8776
Bocskaikert;4241
Boda;7672
Bodajk;8053
Bodmér;8080
Bodolyabér;7394
Bodonhely;9134
Bodony;3243
Bodorfa;8471
Bodrog;7439
Bodroghalom;3987
Bodrogkeresztúr;3916
Bodrogkisfalud;3917
Bodrogolaszi;3943
Bódvalenke;3768
Bódvarákó;3764
Bódvaszilas;3763
Bogács;3412
Bogád;7742
Bogádmindszent;7836
Bogdása;7966
Bogyiszló;7132
Bogyoszló;9324
Bojt;4114
Bókaháza;8741
Bokod;2855
Bokor;3066
Boldog;3016
Boldogasszonyfa;7937
Boldogkőújfalu;3884
Boldogkőváralja;3885
Boldva;3794
Bolhás;7517
Bolhó;7586
Bóly;7754
Boncodfölde;8992
Bonyhád;7150
Bonyhád;7187
Bonyhádvarasd;7158
Bonnya;7281
Bordány;6795
Borgáta;9554
Borjád;7756
Borota;6445
Borsfa;8885
Borsodbóta;3658
Borsodgeszt;3426
Borsodivánka;3462
Borsodnádasd;3671
Borsodnádasd;3672
Borsodszentgyörgy;3623
Borsodszirák;3796
Borsosberény;2644
Borszörcsök;8479
Borzavár;8428
Bosta;7811
Botpalád;4955
Botykapeterd;7900
Bozzai;9752
Bozsok;9727
Bózsva;3994
Bő;9625
Bőcs;3574
Böde;8991
Bödeháza;8969
Bögöt;9612
Bögöte;9675
Böhönye;8719
Bököny;4231
Bölcske;7025
Bőny;9073
Börcs;9152
Börzönce;8772
Bősárkány;9167
Bőszénfa;7475
Bucsa;5527
Bucsu;9792
Búcsúszentlászló;8925
Bucsuta;8893
Budajenő;2093
Budakalász;2011
Budakeszi;2092
Budaörs;2040
Budapest 01. ker.;1015
Budapest 01. ker.;1016
Budapest 01. ker.;1011
Budapest 01. ker.;1014
Budapest 01. ker.;1012
Budapest 01. ker.;1013
Budapest 02. ker.;1022
Budapest 02. ker.;1025
Budapest 02. ker.;1024
Budapest 02. ker.;1026
Budapest 02. ker.;1028
Budapest 02. ker.;1023
Budapest 02. ker.;1027
Budapest 02. ker.;1021
Budapest 02. ker.;1029
Budapest 03. ker.;1032
Budapest 03. ker.;1039
Budapest 03. ker.;1031
Budapest 03. ker.;1038
Budapest 03. ker.;1033
